Feature,Importance
TotalCharges_4424.2,0.0002161053823438909
Customers_2011-TRQYE,0.00021594447944795945
Customers_8166-ZZTFS,0.0002156926399786746
Customers_6599-CEBNN,0.00021553422513744121
TotalCharges_4527.45,0.00021545406684763625
TotalCharges_70.05,0.00021510979611391863
TotalCharges_2375.4,0.00021488626707157524
Customers_9259-PACGQ,0.0002148823700063822
Customers_3034-ZBEQN,0.00021475081801134073
Customers_4234-XTNEA,0.0002146538590962178
Customers_5515-IDEJJ,0.00021442683161775294
TotalCharges_7176.55,0.00021440026694024802
Customers_3838-OZURD,0.00021424623488236423
TotalCharges_518.9,0.00021387768205521551
TotalCharges_354.05,0.00021383692265678427
Customers_2189-UXTKY,0.00021374744272343555
Customers_8634-CILSZ,0.0002132274774658171
Customers_6305-YLBMM,0.00021320509578593648
Customers_2302-ANTDP,0.00021276552233129276
Customers_7549-MYGPK,0.0002126635078006628
TotalCharges_25.1,0.0002126563543084737
TotalCharges_3198.6,0.00021265049166024053
Customers_6386-SZZKH,0.00021184772065195037
TotalCharges_5036.3,0.00021171601640293354
TotalCharges_5037.55,0.00021149960754497134
Customers_2565-JSLRY,0.00021121869992512662
TotalCharges_7372.65,0.0002111905778585519
Customers_0568-ONFPC,0.00021115030650032586
TotalCharges_20.3,0.00021112739165843843
Customers_0691-JVSYA,0.00021109896294754433
TotalCharges_3147.5,0.00021107693934312331
Customers_1842-EZJMK,0.00021104831542130542
TotalCharges_4820.15,0.00021104589788158693
TotalCharges_6252.9,0.00021094812843164084
Customers_0093-XWZFY,0.00021090539251347927
Customers_2403-BCASL,0.00021079973686326483
Customers_7577-SWIFR,0.00021048717443273763
Customers_5174-RNGBH,0.0002104564045884696
Customers_4789-KWMXN,0.0002103190731255641
Customers_9863-JZAIC,0.0002101325732262248
TotalCharges_1430.25,0.0002100173089509624
TotalCharges_757.1,0.0002098037977141228
TotalCharges_5265.1,0.00020962889866169454
TotalCharges_605.45,0.00020948511418965982
TotalCharges_6205.5,0.00020939453917591174
Customers_8824-RWFXJ,0.00020902013695305605
Customers_0461-CVKMU,0.0002087605068093598
TotalCharges_79.55,0.00020872696082783606
TotalCharges_24.8,0.00020831730773233876
TotalCharges_1565.7,0.00020812454298880896
TotalCharges_3475.55,0.00020811142034039953
TotalCharges_3229.65,0.00020795660742065568
TotalCharges_5916.45,0.00020789485230259116
TotalCharges_696.35,0.00020787599174635507
TotalCharges_994.55,0.00020734228761353459
Customers_2886-KEFUM,0.00020720341119971554
Customers_2957-LOLHO,0.00020693292036519484
TotalCharges_55,0.00020690462214105942
Customers_7614-QVWQL,0.00020664209904274614
Customers_6982-UQZLY,0.0002065035260788199
Customers_7776-QWNFX,0.0002062241729911134
TotalCharges_8684.8,0.00020616642468391445
Customers_3668-QPYBK,0.00020607166532034122
TotalCharges_2010.55,0.00020603342664896076
Customers_7133-VBDCG,0.00020567062199427773
Customers_6615-ZGEDR,0.00020564374640643133
Customers_4847-TAJYI,0.0002055389220575349
Customers_4576-CSAJH,0.0002053150668068156
Customers_5027-XWQHA,0.00020530011989445155
Customers_3512-IZIKN,0.00020527485328848344
Customers_5154-VEKBL,0.0002052680578926223
TotalCharges_7491.75,0.00020483413205867656
Customers_6849-OYAMU,0.0002047627060543781
TotalCharges_5082.8,0.00020475291630104014
TotalCharges_70.25,0.00020471690303010964
Customers_0426-TIRNE,0.0002047010699651091
Customers_5673-TIYIB,0.0002044678035800571
TotalCharges_2649.15,0.00020434999112838858
TotalCharges_3959.35,0.00020427461450480888
Customers_9318-NKNFC,0.00020420150521907804
TotalCharges_145.15,0.0002038941452138017
TotalCharges_438.4,0.0002038819168149917
TotalCharges_1348.9,0.00020382001951315982
TotalCharges_335.75,0.0002036506469967439
Customers_9564-KCLHR,0.00020329001066315283
Customers_0617-FHSGK,0.0002032215469634981
TotalCharges_19.5,0.00020319257961968568
TotalCharges_24.4,0.00020301090606534002
Customers_6038-GCYEC,0.00020293577226509118
Customers_3571-RFHAR,0.00020287247744480889
TotalCharges_6110.2,0.00020256500072465328
TotalCharges_19.25,0.0002024713417078192
TotalCharges_5614.45,0.000202149655306412
Customers_4081-DYXAV,0.00020199640538937514
TotalCharges_24.05,0.00020199276980717188
TotalCharges_521.35,0.00020196660961239725
Customers_5099-BAILX,0.0002018199360698396
Customers_3318-NMQXL,0.00020152360458064336
TotalCharges_2530.4,0.00020148592114422277
Customers_4588-YBNIB,0.00020146849186956854
TotalCharges_1127.35,0.00020146422146601897
Customers_2150-UWTFY,0.00020143828955858974
Customers_4883-QICIH,0.00020127185659506484
TotalCharges_399.6,0.00020111413475787712
Customers_5016-ETTFF,0.00020110297735228454
Customers_7394-LWLYN,0.00020107660087656455
TotalCharges_1054.6,0.000200975958930941
TotalCharges_449.75,0.00020083559255659178
Customers_1591-NFNLQ,0.0002008210107351246
TotalCharges_6903.1,0.0002008023096195197
Customers_1113-IUJYX,0.00020064046876289572
TotalCharges_1502.65,0.0002005482990499707
TotalCharges_3626.1,0.00020050518957272177
Customers_5922-ABDVO,0.00020046720754629037
TotalCharges_3937.45,0.00019989575924963534
TotalCharges_45.65,0.00019984800943647293
Customers_7881-INRLC,0.00019983014499092567
